Risk Id,Location,Guide Word,Parameter,Meaning,Consequence,Risk
1104,Observer - Optomechanics,Where else,Optical Point Spread Function,The PSF form is shifted from the origin ,The image is shifted,Any locations have an unexpected displacement
1105,Observer - Optomechanics,Spatial periodic,Optical Point Spread Function,"There are periodic pattern visible in the PSF, i.e. The PSF is spatially periodic",Additional small scale blurriness creating a spatial pattern,Contours of objects are duplicated and create possibility for confusions
1106,Observer - Optomechanics,Spatial periodic,Optical Point Spread Function,"There are periodic pattern visible in the PSF, i.e. The PSF is spatially periodic",,
1107,Observer - Optomechanics,Spatial periodic,Optical Point Spread Function,PSF changes regularly over the sensitive area (e.g. radially),"""Information quality of the sensitive area changes regularly"," e.g. reduces from centre outwards"""
1108,Observer - Optomechanics,Spatial aperiodic,Optical Point Spread Function,The PSF is not as periodic as expected,Image quality is greatly reduced due to irregular blurring pattern and speckles (high noise),Misdetections
1109,Observer - Optomechanics,Temporal periodic,Optical Point Spread Function,The PSF fluctuates periodically over time,Image quality/blurriness fluctuates regularly over time,"""Performance is not stable, results fade in/out all the time"
1110,Observer - Optomechanics,Temporal aperiodic,Optical Point Spread Function,The PSF is not as periodic as expected,The modelled PSF is changed periodically for de-convolution whereas the actual PSF is not => See Other Than,See Other Than
1111,Observer - Optomechanics,Temporal aperiodic,Optical Point Spread Function,The PSF fluctuates chaotically over time,Blur compensation cannot keep up with chaotically changing blurriness,Image interpretation compromised due to irreversible blurriness
1112,Observer - Optomechanics,Close,Optical Point Spread Function,The PSF is unexpected for close object distances,Image is more / less blurry than expected for objects with short distance,Over- and under-compensation of PSF during de-convolution
1113,Observer - Optomechanics,Close,Optical Point Spread Function,The PSF is unexpected for close object distances,,Inaccuracy in computation results
1114,Observer - Optomechanics,Close,Optical Point Spread Function,The PSF is unexpected for close object distances,,Up to compromised interpretation due to irreversible blurriness
1115,Observer - Optomechanics,Remote,Optical Point Spread Function,The PSF is different for objects that are far away,Image is more / less blurry than expected for objects with far distance ,See Close
1116,Observer - Optomechanics,Remote,Optical Point Spread Function,The PSF is different for objects that are far away,Different PSF patterns may overlap in image regions where different object distances overlap,
1117,Observer - Optomechanics,Faster,Optical Point Spread Function,PSF is changing faster than expected,See Other Than,See Other Than
1118,Observer - Optomechanics,Slower,Optical Point Spread Function,PSF is changing slower than expected,See Other Than,See Other Than
1119,Observer - Electronics,No (not none),Exposure and shutter,Exposure is not triggered,No image is taken,"Algorithm waits indefinitely on image from sensor, which never arrives "
1120,Observer - Electronics,"More (more of, higher)",Exposure and shutter,Longer exposure time than expected,More light captured per image than expected,Overexposure
1121,Observer - Electronics,"More (more of, higher)",Exposure and shutter,Longer exposure time than expected,Latency: During exposure the current image data is not accessible,Motion blur if movement is to fast
1122,Observer - Electronics,"More (more of, higher)",Exposure and shutter,Longer exposure time than expected,,"Latency is a critical factor in every closed-loop control (oscillations, loosing)"
1123,Observer - Electronics,"Less (less of, lower)",Exposure and shutter,Shorter exposure time than expected,Less light captured per image than expected,Underexposure
1124,Observer - Electronics,"Less (less of, lower)",Exposure and shutter,Shorter exposure time than expected,,Effects which are usually filtered by averaging over time have a stronger impact
1125,Observer - Electronics,As well as,Exposure and shutter,Multiple exposures,Multiple frames superimposed into one image,Number of elements is miscalculated
1126,Observer - Electronics,As well as,Exposure and shutter,Multiple exposures,,Movement is miscalculated
1127,Observer - Electronics,Part of,Exposure and shutter,Only a part of photoelectric sensor area is exposed to light,Only parts of the image show the scenery the rest stays black,Misinterpretation of scene by CV alg.
1128,Observer - Electronics,Part of,Exposure and shutter,Only a part of photoelectric sensor area is exposed to light,,Missed detections
1129,Observer - Electronics,Part of,Exposure and shutter,Only a part of photoelectric sensor area is exposed to light,,Missing input information causes incomplete output
1130,Observer - Electronics,Reverse,Exposure and shutter,Electronics emit light instead of receiving it,Additional l.s. creates unexpected shadows / patterns,See More l.s.
1131,Observer - Electronics,Reverse,Exposure and shutter,Electronics emit light instead of receiving it,See More l.s.,
1132,Observer - Electronics,Other than,Exposure and shutter,Exposure time is different  than expected,Temporal coherence of frames is lost due to changing exposure,Two consecutive frames are that different that corresponding elements cannot be found any more => any tracking is confused
1133,Observer - Electronics,Other than,Exposure and shutter,Exposure time is different  than expected,,Scene recognition breaks down or is at least severely hampered
1134,Observer - Electronics,Spatial periodic,Exposure and shutter,Exposure is spatially not synchronized with data readout,Not all pixels are exposed at the same time,The frequency of the rolling shutter is misinterpreted as movement
1135,Observer - Electronics,Spatial periodic,Exposure and shutter,Exposure is spatially not synchronized with data readout,Rolling shutter effect,
1136,Observer - Electronics,Spatial aperiodic,Exposure and shutter,Exposure time of photoelectric elements is not constant,Due to the mechanical opening of shutter the time of exposure is varying,LDR to HDR based on photometric calibration fails
1137,Observer - Electronics,Spatial aperiodic,Exposure and shutter,Exposure time of photoelectric elements is not constant,Photometric calibration differs spatially,Optical flow is inaccurate 
1138,Observer - Electronics,Spatial aperiodic,Exposure and shutter,Exposure time of photoelectric elements is not constant,The brightness constancy assumption flow is not entirely fulfilled,
1139,Observer - Electronics,Temporal periodic,Exposure and shutter,Exposure time changes periodically,Frequent (and quick) changes between over- and underexposure,See other than
1140,Observer - Electronics,Temporal periodic,Exposure and shutter,Exposure time changes periodically,See other than,
1141,Observer - Electronics,Temporal aperiodic,Exposure and shutter,Continuous recording without a constant exposure time,Movements of objects appear erratic,Miscalculation of positions
1142,Observer - Electronics,Temporal aperiodic,Exposure and shutter,Continuous recording without a constant exposure time,,Miscalculation of motion 
1143,Observer - Electronics,Before,Exposure and shutter,Exposure occurred before expected time,A too early scene captured ,Wrong scene interpretation if wrongly matched to expected scene phase 
1144,Observer - Electronics,Before,Exposure and shutter,Exposure starts earlier than expected,"If correct exposure duration, a too early scene is captured",Wrong scene interpretation if wrongly matched to expected scene phase
1145,Observer - Electronics,Before,Exposure and shutter,Exposure starts earlier than expected,"If too long exposure duration, overexposure results",Hampered recognition due to overexposure
1146,Observer - Electronics,After,Exposure and shutter,Exposure occurred after expected time,A too late scene captured,See Before (1)
1147,Observer - Electronics,After,Exposure and shutter,Exposure starts later than expected,"If correct exposure duration, a too late scene is captured",See Before (temp.) (2)
1148,Observer - Electronics,After,Exposure and shutter,Exposure starts later than expected,"If too long exposure duration, overexposure results",
1149,Observer - Electronics,In front of,Exposure and shutter,Something is in front of the detector electronics,Increased static image noise,See less Focus
1150,Observer - Electronics,In front of,Exposure and shutter,Something is in front of the detector electronics,See less Focus,
1151,Observer - Electronics,Behind,Exposure and shutter,Something behind detector electronics which emits,Detector receives more light than expected,Overexposure
1152,Observer - Electronics,Behind,Exposure and shutter,Something behind detector electronics which emits,"Depending on wave prop., this can lead to annihilation",Dimming or colour modification
1153,Observer - Electronics,No (not none),Resolution (spatial),Sensor has no resolution,"All incoming light accumulated into 1 ""pixel""",De facto no detection of any object possible
1154,Observer - Electronics,"More (more of, higher)",Resolution (spatial),The sensor resolution is higher than expected,More data to be processed than expected ,"If wrong image size not recognized by CV alg.: line mismatch occures (i.e. part of 1st pixel line exceeding expected width, is interpreted as begin of second line and so on)"
1155,Observer - Electronics,"More (more of, higher)",Resolution (spatial),Pixel size is smaller than expected,Usually less light sensitivity and more noise  than expected,If image size correctly recognized: processing time too long
1156,Observer - Electronics,"More (more of, higher)",Resolution (spatial),Pixel size is smaller than expected,Angular resolution is finer than expected ® more details visible,Increase error rate on scene interpretation due to higher noise rate
1157,Observer - Electronics,"More (more of, higher)",Resolution (spatial),Pixel size is smaller than expected,,"CV alg. parameters have to be adapted (E.g minimal size of sliding window), otherwise functionality is lost or hampered"
1158,Observer - Electronics,"Less (less of, lower)",Resolution (spatial),The sensor resolution is lower than expected,The sensor resolution is lower than expected,Less data to be processed than expected 
1159,Observer - Electronics,"Less (less of, lower)",Resolution (spatial),Pixel size is larger than expected,Pixel size is larger than expected,Lower noise level than expected
1160,Observer - Electronics,"Less (less of, lower)",Resolution (spatial),Pixel size is larger than expected,,Angular resolution is coarser than expected
1161,Observer - Electronics,As well as,Resolution (spatial),Image sensor creates images of multiple resolutions,Image sensor creates images of multiple resolutions,See Other than
1162,Observer - Electronics,Part of,Resolution (spatial),Only along one dimension Resol. is different from expected ,Only along one dimension Resol. is different from expected ,Image/pixel ratio other than expected ® image distortion
1163,Observer - Electronics,Part of,Resolution (spatial),Only along one dimension Resol. is different from expected ,,If ratio of actual to expected pixel number is simple (e.g. 1:2 or 2:1): wrong appearance can look similar to interlacing
1164,Observer - Electronics,Part of,Resolution (spatial),Only part of detector area is sensitive to light,Only part of detector area is sensitive to light,"Not all expected parts of scene are visible in scene. E.g. if sensitive area is smaller than expected, dark area around image border results."
1165,Observer - Electronics,Part of,Resolution (spatial),Only part of detector area is sensitive to light,,Static image noise increased.
1166,Observer - Electronics,Part of,Resolution (spatial),Part of pixel area is insensitive,Part of pixel area is insensitive,Noise increased
1167,Observer - Electronics,Part of,Resolution (spatial),Part of pixel area is insensitive,,Detectable light intensity reduced
1168,Observer - Electronics,Reverse,Resolution (spatial),Resolution is n*m instead of m*n,Resolution is n*m instead of m*n,"Size of pixel lines and columns reversed, but number of pixels per image as expected"
1169,Observer - Electronics,Reverse,Resolution (spatial),Resolution is n*m instead of m*n,,"If lens properties are chosen according to expected ratio, image borders show strong aberration and occlusions"
1170,Observer - Electronics,Other than,Resolution (spatial),Resolution is different from expected,See More/Less,See More/Less
1171,Observer - Electronics,Other than,Resolution (spatial),Aspect ratio differs from expected one,If resulting number of pixels is equal to expected number: see Reverse,See Reverse
1172,Observer - Electronics,Other than,Resolution (spatial),Aspect ratio differs from expected one,Else: see More/Less,See More/Less
1173,Observer - Electronics,Other than,Resolution (spatial),Pixel ratio differs from expected,Distorted image,Object mismatch or scene misinterpretation
1174,Observer - Electronics,Where else,Resolution (spatial),"The pixel geometry is not rectangular, e.g. hexagonal","Center of pixels not on rectangular raster, and pixel shape not rectangular",If this is not recognized: strange appearance of scene - several distortion effects
1175,Observer - Electronics,Spatial periodic,Resolution (spatial),Pixel size/position changes regularly over the view,Different parts of the sensor sample the same scene  area in different image area sizes,"If this is not recognized, the effects correspond to those of barrel or pincushion distortion - Optics/LGeom./More"
1176,Observer - Electronics,Spatial periodic,Resolution (spatial),Pixel size/position changes regularly over the view,,Miscalculation of sizes
1177,Observer - Electronics,Spatial periodic,Resolution (spatial),Pixel size/position changes regularly over the view,,Miscalculation of relative relations and positions
1178,Observer - Electronics,Spatial aperiodic,Resolution (spatial),Pixel size changes non-uniformly (irregularly) over the view   ,"""As special periodic, but perhaps limited to a small numbers of pixels"," presumably due to production faults"""
1179,Observer - Electronics,Spatial aperiodic,Resolution (spatial),Pixel size changes non-uniformly (irregularly) over the view   ,,Miscalculation of relative relations and positions
1180,Observer - Electronics,Temporal periodic,Resolution (spatial),The resolution changes over time in a regular manner,Number of pixel lines and columns changes periodically,If this not recognized: continuously changing scene distortion
1181,Observer - Electronics,Temporal periodic,Resolution (spatial),The resolution changes over time in a regular manner,Limit of captured scene details changes synchronously,"If this is recognized: computation time changes correspondingly, and some scene details are lost periodically"
1182,Observer - Electronics,Temporal aperiodic,Resolution (spatial),The resolution changes over time in a spontaneous manner,Number of pixel lines and columns changes abruptly at unforeseeable points in time,"If this is not recognized, effects as with More ... Reverse occur."
1183,Observer - Electronics,Temporal aperiodic,Resolution (spatial),The resolution changes over time in a spontaneous manner,Limit of captured scene details changes synchronously,
1184,Observer - Electronics,Before,Resolution (spatial),The resolution changes earlier than expected,"The resolution change is expected in principle, but not at the time it actually occurs",The effects of Temporal (a)periodic occur until the expected point in time
1185,Observer - Electronics,After,Resolution (spatial),The resolution changes later than expected,See Before,The effects of Temporal (a)periodic occur from the expected point in time until the actual point in time
1186,Observer - Electronics,No (not none),Spectral efficiency,No colour response at all - sensor is completely insensitive,"Black image, only thermal noise generated",No scene or objects detectable
1187,Observer - Electronics,No (not none),Spectral efficiency,Image is sampled in monochrome,Spectrum reduced to the intensity of a single frequency,Distinction of objects/material  based on their specific colour re-emission might fail
1188,Observer - Electronics,"More (more of, higher)",Spectral efficiency,Sensor is sensitive to more frequencies than expected,"More frequencies contribute to scene impression than expected - strange or ""wrong"" colours",Misinterpretation of objects or their parts
1189,Observer - Electronics,"More (more of, higher)",Spectral efficiency,Sensor is sensitive to more frequencies than expected,,Overexposure
1190,Observer - Electronics,"More (more of, higher)",Spectral efficiency,Image is sampled with more colour channels than expected,Image contains more colour planes than expected,Distinction of objects/material  based on their specific colour re-emission might fail
1191,Observer - Electronics,"More (more of, higher)",Spectral efficiency,Image is sampled with more colour channels than expected,,Too long processing time
1192,Observer - Electronics,"More (more of, higher)",Spectral efficiency,Image is sampled with more colour channels than expected,,"Colour planes are wrongly grouped (e.g. ,  processed as , , ...)"
1193,Observer - Electronics,"Less (less of, lower)",Spectral efficiency,Sensor is sensitive to less frequencies than expected,"More frequencies contribute to scene impression than expected - strange or ""wrong"" colours",Misinterpretation of objects or their parts
1194,Observer - Electronics,"Less (less of, lower)",Spectral efficiency,Sensor is sensitive to less frequencies than expected,,Overexposure
1195,Observer - Electronics,"Less (less of, lower)",Spectral efficiency,Image is sampled with less colour channels than expected,Image contains fewer colour planes than expected,Distinction of objects/material  based on their specific colour re-emission might fail
1196,Observer - Electronics,"Less (less of, lower)",Spectral efficiency,Image is sampled with less colour channels than expected,,Complementary to 2nd More 
1197,Observer - Electronics,As well as,Spectral efficiency,"In expected frequency range, sensor is less sensitive, but in other frequencies, it is more sensitive","Other frequencies contribute to scene impression than expected - strange or ""wrong"" colours",See More and Less
1198,Observer - Electronics,As well as,Spectral efficiency,Optical filters and sensor colour filter interact,Colours are skewed,Distinction of objects/material  based on their specific colour re-emission might fail
1199,Observer - Electronics,As well as,Spectral efficiency,Optical filters and sensor colour filter interact,Underexposure,
1200,Observer - Electronics,Part of,Spectral efficiency,Spectral Eff. has a strong break in (band-rejection filter),Colours are skewed,Misdetections
1201,Observer - Electronics,Part of,Spectral efficiency,Spectral Eff. has a strong break in (band-rejection filter),Colour and Intensity are mixed,
1202,Observer - Electronics,Reverse,Spectral efficiency,Spectral Eff. Curve is inverted,Completely wrong colour interpretation,Misdetections
1203,Observer - Electronics,Other than,Spectral efficiency,Spec. Eff. Curve is different than expected,See More/Less/As well as,See More/Less/As well as
1204,Observer - Electronics,Other than,Spectral efficiency,Automatically adapted Spec. Eff. (auto white balance) is erroneous,See More/Less/As well as,See More/Less/As well as
1205,Observer - Electronics,Other than,Spectral efficiency,Image is sampled with different colour channels than expected ,Wrong colour interpretation,Distinction of objects/material  based on their specific colour re-emission might fail
1206,Observer - Electronics,Where else,Spectral efficiency,Spec. Eff. changes depending on the position on detector area,Static noise is increased and influences colour intensity and  hue,Misdetections
1207,Observer - Electronics,Spatial periodic,Spectral efficiency,Spec. Eff. changes regularly over Sensor area,"Different sensor areas show different response curves, but predictable",Effects of As well as merge with those of Optics
1208,Observer - Electronics,Spatial aperiodic,Spectral efficiency,Sensitivity changes irregularly over Sensor area,"Different sensor areas show different response curves, which is not or hardly predictable","Depending on strength of differences, ""scattered"" image hampered correct scene interpretation severely"
1209,Observer - Electronics,Temporal periodic,Spectral efficiency,Sensitivity changes regularly over time ,"The Sensor's response curves change over time, but in a (widely) predictable manner","Changing colour temperature hampers recognition of previously learned colours or textures, but correction is possible"
1210,Observer - Electronics,Temporal aperiodic,Spectral efficiency,Sensitivity changes irregularly over time,"The Sensor's response curves change over time, but in a (widely) unpredictable manner","Changing colour temperature hampers recognition of previously learned colours or textures, if not corrected "
1211,Observer - Electronics,Before,Spectral efficiency,Colour response curve changes earlier than expected,See Meaning,"Deviation of ""generated"" from ""real"" colours causes CV alg. to misinterpret scene status, e.g. point in time"
1212,Observer - Electronics,After,Spectral efficiency,Colour response curve changes later than expected,See Meaning,See Before
1213,Observer - Electronics,No (not none),Quality,No quality of Sensor electronics at all,Generated image data are purely random - only temporal noise,No object detected
1214,Observer - Electronics,No (not none),Quality,No quality of Sensor electronics at all,,"Noise misinterpreted, e.g. as particles in medium"
1215,Observer - Electronics,"More (more of, higher)",Quality,Sensor Quality is higher than expected,"Less noise, vignetting etc. than expected",CV alg. which tries to compensate Sensor faults introduce artefacts
1216,Observer - Electronics,"More (more of, higher)",Quality,Sensor Quality is higher than expected,More contrast,Clutter in scene might be interpreted as objects
1217,Observer - Electronics,"Less (less of, lower)",Quality,More (thermal) pixel noise than expected,More pixel values are randomly modified than expected,Textures wrongly interpreted
1218,Observer - Electronics,"Less (less of, lower)",Quality,More (thermal) pixel noise than expected,Pixel values are stronger randomly modified than expected,Wrong textures detected 
1219,Observer - Electronics,"Less (less of, lower)",Quality,More (thermal) pixel noise than expected,Less contrast,Small image details not detected
1220,Observer - Electronics,"Less (less of, lower)",Quality,More (thermal) pixel noise than expected,,Wrong small image details detected 
1221,Observer - Electronics,"Less (less of, lower)",Quality,More intensity offset error than expected,Dark scene zones appear brighter than expected,Details in the dark (shadows) not detected
1222,Observer - Electronics,"Less (less of, lower)",Quality,More overflow effects than expected,E.g. blooming,Blooming effects misinterpreted as objects or object parts
1223,Observer - Electronics,"Less (less of, lower)",Quality,Image noise is stronger than any signal caused by light intensities ,Image noise is prevalent,Misdetections
1224,Observer - Electronics,"Less (less of, lower)",Quality,Image noise is stronger than any signal caused by light intensities ,Contrast is reduced,
1225,Observer - Electronics,As well as,Quality,Different levels of image noise are present under different conditions,Training data image noise and image noise under test can vary,"Misdetections due to ""wrong"" learning"
1226,Observer - Electronics,As well as,Quality,Different levels of image noise are present under different conditions,,
1227,Observer - Electronics,As well as,Quality,All Less Quality effects combined,See all Less Quality,See all Less Quality
1228,Observer - Electronics,Part of,Quality,Some Less Quality effects combined,See all Less Quality,See all Less Quality
1229,Observer - Electronics,Other than,Quality,Image noise is different than expected ,See More/Less,See More/Less
1230,Observer - Electronics,Where else,Quality,The intensity offset error is expected to be high at a certain region of the image but is high at another region,See Meaning,Overcompensations in some and under compensations in other regions
1231,Observer - Electronics,Spatial periodic,Quality,Sensor quality changes over its area in a regular manner,"Consequences listed under Less Quality occur at different image locations with different intensities, but in a regular and widely predictive manner (with respect to variation parameters)","Hazards listed under Less Quality occur with different intensities over the image, but could principally be compensated"
1232,Observer - Electronics,Spatial periodic,Quality,Sensor quality changes over its area in a regular manner,Image noise can produce a virtual pattern,
1233,Observer - Electronics,Spatial aperiodic,Quality,Sensor quality changes over its area in irregular manner,"Like Spatial periodic, but in an irregular and hence hardly predictive manner","Hazards listed under Less Quality occur with different intensities over the image, but mitigation difficult"
1234,Observer - Electronics,Spatial aperiodic,Quality,Sensor quality changes over its area in irregular manner,Image noise can produce a virtual pattern,Image noise could be confused with objects or textures
1235,Observer - Electronics,Temporal periodic,Quality,Sensor quality changes over time in a regular and hence predictable manner,Consequences listed under Less Quality change regularly - and hence at least conceptually predictive - over time,"Hazards listed under Less Quality occur with different intensities over time, but could principally be mitigated"
1236,Observer - Electronics,Temporal aperiodic,Quality,Sensor quality changes over time in irregular manner,Consequences listed under Less Quality change irregularly - and hence even conceptually hard to predict - over time,"Hazards listed under Less Quality occur with different intensities over time, and can hardly be mitigated"
1237,Observer - Electronics,Before,Quality,"Before the system is warmed up, , the image noise level is different than expected",See As well as,See As well as
1238,Observer - Electronics,After,Quality,"After the system has reached a certain age, the image noise level is different than expected",See As well as,See As well as
1239,Observer - Electronics,After,Quality,"After the system has reached a certain age, the image noise level is different than expected",Static image noise changes over the life time,Filters to remove static noise are working with reduced efficiency
1240,Observer - Electronics,Slower,Quality,Electronics degrade very slowly,Only small changes in image noise over time,Detection of deterioration might fail as changes are so small to go unnoticed
1241,Observer - Electronics,No (not none),Quantization/Sampling,No Quantisation at all,Inputs are only available in  analogue form ,CV alg. not able to process analogue data
1242,Observer - Electronics,No (not none),Quantization/Sampling,No Quantisation at all,Or only one bit per pixel ,No scene elements recognizable
1243,Observer - Electronics,No (not none),Quantization/Sampling,No Quantisation at all,Or only one constant output,
1244,Observer - Electronics,"More (more of, higher)",Quantization/Sampling,More Value Quantisation Levels than expected,Encoding of quantised data uses more bits than expected ,If pixel boundaries becomes misaligned: image is completely deformed
1245,Observer - Electronics,"More (more of, higher)",Quantization/Sampling,More Value Quantisation Levels than expected,Encoding uses a larger fraction of the possible range (e.g. 0..32767 instead of only 0..10000 with 15 bits),"""If pixel boundaries remain aligned: exceeding values not handled by CV alg. - usually, bright parts effected"
1246,Observer - Electronics,"More (more of, higher)",Quantization/Sampling,More Value Quantisation Levels than expected,,"-        All values exceeding expected max. are mapped to ""maximum white"""
1247,Observer - Electronics,"More (more of, higher)",Quantization/Sampling,More Value Quantisation Levels than expected,,image brighter than correct
1248,Observer - Electronics,"More (more of, higher)",Quantization/Sampling,More Value Quantisation Levels than expected,,-        All values exceeding expected max. are mapped into expected range in a round-robin manner
1249,Observer - Electronics,"More (more of, higher)",Quantization/Sampling,Space Quantization is stronger than expected,See Resolution,See Resolution
1250,Observer - Electronics,"More (more of, higher)",Quantization/Sampling,Frame rate is lower than expected,Less observations per time,Misses important observations since observed objects or their change of properties is to fast
1251,Observer - Electronics,"More (more of, higher)",Quantization/Sampling,Frame rate is lower than expected,,"Different sapling rate has to be considered in dynamic models, otherwise they do not fit"
1252,Observer - Electronics,"More (more of, higher)",Quantization/Sampling,Frame rate is lower than expected,,Temporal aliasing occurs
1253,Observer - Electronics,"Less (less of, lower)",Quantization/Sampling,Value Quantisation is lower than expected,Encoding of discretised data uses fewer bits than expected ,If pixel boundaries becomes misaligned: image is completely deformed
1254,Observer - Electronics,"Less (less of, lower)",Quantization/Sampling,Value Quantisation is lower than expected,Encoding uses a fraction of the possible range (e.g. 0..10000 instead 0.. 32767 with 15 bits),If pixel boundaries remain aligned: 
1255,Observer - Electronics,"Less (less of, lower)",Quantization/Sampling,Value Quantisation is lower than expected,,image dimmer than correct
1256,Observer - Electronics,"Less (less of, lower)",Quantization/Sampling,Value Quantisation is lower than expected,,Subpixel accuracy is reduced due to less possible data values
1257,Observer - Electronics,"Less (less of, lower)",Quantization/Sampling,Space Quantization is weaker than expected,See Resolution,See Resolution
1258,Observer - Electronics,"Less (less of, lower)",Quantization/Sampling,Frame rate is higher than expected,More observations per time,"Different sapling rate has to be considered in dynamic models, otherwise they do not fit"
1259,Observer - Electronics,As well as,Quantization/Sampling,"Multiple quantization effects (Value, space & time) interact with each other",See More/Less,See More/Less
1260,Observer - Electronics,Part of,Quantization/Sampling,Only Part of quantisation is performed,Some of expected dimensions not provided,Misinterpretation of available date leads to highly deformed image
1261,Observer - Electronics,Reverse,Quantization/Sampling,Received Intensity is encoded inverse to expected,"Image is encoded as its ""negative""",Scene recognition breaks down
1262,Observer - Electronics,Reverse,Quantization/Sampling,Received Intensity is encoded inverse to expected,,Dips are interpreted as hills and vice versa
1263,Observer - Electronics,Reverse,Quantization/Sampling,Received Intensity is encoded inverse to expected,,L.s. positions confused
1264,Observer - Electronics,Other than,Quantization/Sampling,A/D Converter introduce additional current and fake light intensity,Increased image noise,Misdetections
1265,Observer - Electronics,Other than,Quantization/Sampling,Value Quantisation is other than expected,Intensity output is other than expected,"Colours and shadows misinterpreted, derived scene geometry has systematic deviations"
1266,Observer - Electronics,Other than,Quantization/Sampling,Value Quantisation is other than expected,More/Less different intensity values than expected,Less details can result in missed detections
1267,Observer - Electronics,Other than,Quantization/Sampling,Value Quantisation is other than expected,More/Less contrast,More image noise and background clutter can result in additional false detections
1268,Observer - Electronics,Other than,Quantization/Sampling,Time quantization is other than expected,Speed assumptions do not fit the observations ,Dynamic models have to be adapted
1269,Observer - Electronics,Where else,Quantization/Sampling,Different pixels quantize the same intensity with different values,"""Image has scattered structure overlaid"," e.g. certain pixels appear always darker than their neighbours"""
1270,Observer - Electronics,Spatial periodic,Quantization/Sampling,Sensor pixels sample only at discreet locations thus quantizing space,Scene is sampled only at specific locations ® increase contrast (steps),"Stronger contrast misinterpreted, e.g. as shadow edges"
1271,Observer - Electronics,Spatial periodic,Quantization/Sampling,Quantisation changes over sensor in a regular manner,,
1272,Observer - Electronics,Spatial aperiodic,Quantization/Sampling,Quantisation changes over sensor in an irregular manner,,
1273,Observer - Electronics,Spatial aperiodic,Quantization/Sampling,Quantisation changes over sensor in an irregular manner,,
1274,Observer - Electronics,Temporal periodic,Quantization/Sampling,Quantisation changes in a temporally regular manner,,
1275,Observer - Electronics,Temporal periodic,Quantization/Sampling,Sensor samples environment only with a certain frame rate thus quantizing time,See Exposure,See Exposure
1276,Observer - Electronics,Temporal aperiodic,Quantization/Sampling,Quantisation changes in a temporally irregular manner,,
1277,Algorithm,No (not none),Parameters,(Some) Parameters not set,System uses default parameters,Default parameters don't fit current situation
1278,Algorithm,"More (more of, higher)",Parameters,Parameter value is too high,Threshold is too high,Functionality hampered
1279,Algorithm,"More (more of, higher)",Parameters,Parameter value is too high,Window too big to for target frequency in data,
1280,Algorithm,"Less (less of, lower)",Parameters,Parameter value is too low,See More,See More
1281,Algorithm,As well as,Parameters,One parameter is too low the other too high,See More and Less,See More and Less
1282,Algorithm,Part of,Parameters,Some Parameters are not set,See No,See No
1283,Algorithm,Reverse,Parameters,Parameters are input in reverse, See Where else, See Where else
1284,Algorithm,Other than,Parameters,Parameter is provided in units differently from expected,Misinterpretations or scale of inputs is wrong,Incorrect model
1285,Algorithm,Other than,Parameters,Parameter is provided in units differently from expected,,Incorrect action planning
1286,Algorithm,Other than,Parameters,Parameter does not fit the reality,Deviation of the systems view of reality from the real world,The system fails or presents erroneous data
1287,Algorithm,Where else,Parameters,The value for one parameter is confused with another,Parameters are confused (wrong values assigned), Functionality nullified
1288,Algorithm,Temporal periodic,Parameters,Parameter is oscillating ,No stable parameter set,Unreliable result
1289,Algorithm,Temporal periodic,Parameters,Parameter is oscillating ,No stable result,
1290,Algorithm,Temporal aperiodic,Parameters,Parameter is stochastically changed,See Temporal periodic,See Temporal periodic
1291,Algorithm,Before,Parameters,Initialization is done in the wrong order,Temporal dependencies are ignored,Functionality hampered
1292,Algorithm,Before,Parameters,Initialization is done in the wrong order,,Deadlocks
1293,Algorithm,Before,Parameters,Initialization is done in the wrong order,,Racing Conditions
1294,Algorithm,Before,Parameters,Initialization is done in the wrong order,,Result are used although they are not yet valid
1295,Algorithm,Before,Parameters,Parameter change occurs before expected,System misinterprets situation,Functionality hampered
1296,Algorithm,After,Parameters,See Before,See Before,See Before
1297,Algorithm,No (not none),History,History is not available,History is not available,History is empty
1298,Algorithm,No (not none),History,No history is used at all,No history is used at all,See Meaning
1299,Algorithm,No (not none),History,No history is used at all,,
1300,Algorithm,"More (more of, higher)",History,History size/time span is too long,History size/time span is too long,Calculation time higher
1301,Algorithm,"More (more of, higher)",History,History size/time span is too long,,Low pass filter effect
1302,Algorithm,"More (more of, higher)",History,History size/time span is too long,,Increased Smoothing
1303,Algorithm,"More (more of, higher)",History,History size/time span is too long,,Historical data are weighted more than current inputs
1304,Algorithm,"More (more of, higher)",History,History size/time span is too long,,Important details are drowned in a sea of unimportant data
1305,Algorithm,"Less (less of, lower)",History,History is not yet complete,History is not yet complete,Initialization is not yet completed
1306,Algorithm,"Less (less of, lower)",History,History is not yet complete,,Algorithm must first sample inputs for some time to create a history or default assumptions about the history are needed
1307,Algorithm,"Less (less of, lower)",History,History is not yet complete,,"""Algorithm might use old history (e.g. from last run)"
1308,Algorithm,"Less (less of, lower)",History,History size/time span is too short,History size/time span is too short,Calculation time shorter
1309,Algorithm,"Less (less of, lower)",History,History size/time span is too short,,High pass filter effect
1310,Algorithm,"Less (less of, lower)",History,History size/time span is too short,,Decreased Smoothing
1311,Algorithm,"Less (less of, lower)",History,History size/time span is too short,,Historical data are weighted less than appropriate
1312,Algorithm,As well as,History,"For some aspects, too much history is used, while for others too little",Historical data is applied inappropriately,Scene is partially misinterpreted
